X,Y,LOCATION_TYPE
-53.93,-25.0,presence
-54.09,-24.97,presence
-51.9,-24.91,presence
-53.01,-24.9,presence
-53.87,-24.89,presence
-54.3,-24.87,presence
-47.74,-24.86,presence
-52.71,-24.82,presence
-54.12,-24.82,presence
-53.92,-24.8,presence
-53.07,-24.79,presence
-48.07,-24.78,presence
-48.18,-24.78,presence
-53.26,-24.74,presence
-54.22,-24.71,presence
-53.79,-24.7,presence
-52.24,-24.7,presence
-53.35,-24.69,presence
-50.48,-24.68,presence
-47.85,-24.68,presence
-51.23,-24.68,presence
-53.09,-24.68,presence
-53.15,-24.64,presence
-54.25,-24.64,presence
-53.51,-24.63,presence
-52.56,-24.63,presence
-52.79,-24.62,presence
-47.45,-24.59,presence
-54.16,-24.59,presence
-53.97,-24.57,presence
-52.27,-24.57,presence
-49.22,-24.56,presence
-53.03,-24.51,presence
-48.23,-24.5,presence
-51.65,-24.5,presence
-47.86,-24.5,presence
-53.3,-24.49,presence
-53.81,-24.47,presence
-53.99,-24.45,presence
-53.57,-24.45,presence
-54.19,-24.44,presence
-53.35,-24.43,presence
-51.94,-24.43,presence
-53.41,-24.41,presence
-52.84,-24.41,presence
-51.55,-24.38,presence
-52.11,-24.36,presence
-52.6,-24.35,presence
-52.3,-24.35,presence
-51.33,-24.34,presence
-51.83,-24.33,presence
-53.15,-24.32,presence
-51.21,-24.31,presence
-53.35,-24.3,presence
-47.95,-24.3,presence
-53.81,-24.29,presence
-47.14,-24.29,presence
-47.01,-24.28,presence
-51.62,-24.28,presence
-52.97,-24.27,presence
-52.75,-24.26,presence
-47.64,-24.22,presence
-51.75,-24.21,presence
-47.36,-24.19,presence
-54.22,-24.19,presence
-51.46,-24.19,presence
-54.07,-24.19,presence
-47.16,-24.18,presence
-53.06,-24.17,presence
-53.55,-24.16,presence
-51.91,-24.15,presence
-52.79,-24.15,presence
-52.14,-24.13,presence
-52.37,-24.13,presence
-52.64,-24.12,presence
-49.32,-24.1,presence
-53.88,-24.1,presence
-46.81,-24.1,presence
-53.42,-24.09,presence
-51.78,-24.08,presence
-51.63,-24.07,presence
-52.06,-24.07,presence
-49.98,-24.07,presence
-46.67,-24.07,presence
-53.76,-24.06,presence
-53.22,-24.06,presence
-48.27,-24.05,presence
-52.99,-24.02,presence
-46.5,-24.02,presence
-51.27,-24.0,presence
-51.82,-24.0,presence
-51.5,-24.0,presence
-53.31,-23.96,presence
-53.57,-23.96,presence
-46.5,-23.95,presence
-51.6,-23.95,presence
-46.22,-23.95,presence
-54.25,-23.94,presence
-48.67,-23.94,presence
-48.01,-23.93,presence
-52.31,-23.93,presence
-52.59,-23.93,presence
-51.18,-23.92,presence
-53.95,-23.91,presence
-49.15,-23.91,presence
-48.87,-23.9,presence
-52.04,-23.89,presence
-50.61,-23.88,presence
-54.89,-23.87,presence
-49.8,-23.87,presence
-46.29,-23.86,presence
-51.69,-23.86,presence
-46.41,-23.86,presence
-52.86,-23.86,presence
-47.72,-23.86,presence
-45.34,-23.84,presence
-51.87,-23.83,presence
-52.15,-23.83,presence
-53.7,-23.82,presence
-54.54,-23.82,presence
-51.03,-23.82,presence
-47.19,-23.81,presence
-46.53,-23.8,presence
-47.43,-23.8,presence
-51.43,-23.8,presence
-50.3,-23.79,presence
-51.53,-23.78,presence
-46.02,-23.77,presence
-52.28,-23.76,presence
-51.67,-23.75,presence
-53.6,-23.75,presence
-45.62,-23.75,presence
-51.29,-23.74,presence
-54.23,-23.74,presence
-52.6,-23.74,presence
-53.09,-23.73,presence
-55.34,-23.73,presence
-53.92,-23.72,presence
-53.81,-23.72,presence
-49.96,-23.72,presence
-51.83,-23.72,presence
-52.02,-23.72,presence
-46.5,-23.71,presence
-50.75,-23.71,presence
-53.42,-23.71,presence
-46.61,-23.7,presence
-52.39,-23.7,presence
-46.95,-23.68,presence
-46.72,-23.68,presence
-51.34,-23.67,presence
-46.44,-23.67,presence
-47.59,-23.66,presence
-49.78,-23.66,presence
-52.44,-23.66,presence
-49.44,-23.65,presence
-46.86,-23.65,presence
-47.78,-23.65,presence
-52.87,-23.64,presence
-48.11,-23.63,presence
-54.96,-23.63,presence
-51.7,-23.63,presence
-46.56,-23.63,presence
-50.5,-23.62,presence
-45.49,-23.62,presence
-46.79,-23.62,presence
-48.45,-23.61,presence
-51.55,-23.61,presence
-52.1,-23.61,presence
-50.75,-23.59,presence
-53.23,-23.59,presence
-52.18,-23.59,presence
-47.41,-23.58,presence
-50.63,-23.58,presence
-51.42,-23.58,presence
-52.2,-23.57,presence
-49.56,-23.57,presence
-46.37,-23.56,presence
-46.97,-23.55,presence
-47.87,-23.55,presence
-46.85,-23.55,presence
-47.66,-23.54,presence
-50.79,-23.54,presence
-46.9,-23.54,presence
-49.24,-23.53,presence
-47.28,-23.53,presence
-46.78,-23.53,presence
-47.1,-23.53,presence
-52.53,-23.52,presence
-47.2,-23.52,presence
-53.84,-23.52,presence
-46.88,-23.51,presence
-51.78,-23.5,presence
-51.72,-23.49,presence
-52.67,-23.48,presence
-51.86,-23.48,presence
-51.1,-23.48,presence
-49.02,-23.47,presence
-47.73,-23.47,presence
-47.44,-23.47,presence
-49.4,-23.47,presence
-52.81,-23.47,presence
-52.12,-23.46,presence
-52.23,-23.46,presence
-49.72,-23.46,presence
-50.72,-23.46,presence
-48.8,-23.46,presence
-48.42,-23.45,presence
-46.92,-23.45,presence
-51.45,-23.45,presence
-49.92,-23.44,presence
-52.54,-23.44,presence
-52.3,-23.44,presence
-47.07,-23.43,presence
-50.4,-23.42,presence
-53.07,-23.42,presence
-50.88,-23.42,presence
-54.56,-23.42,presence
-50.54,-23.41,presence
-51.97,-23.41,presence
-47.64,-23.41,presence
-45.0,-23.4,presence
-46.45,-23.39,presence
-54.11,-23.39,presence
-52.6,-23.38,presence
-46.74,-23.38,presence
-48.22,-23.38,presence
-53.44,-23.38,presence
-52.94,-23.37,presence
-53.6,-23.37,presence
-52.5,-23.37,presence
-47.9,-23.36,presence
-46.88,-23.35,presence
-53.29,-23.35,presence
-51.6,-23.35,presence
-53.12,-23.34,presence
-50.7,-23.34,presence
-52.83,-23.33,presence
-52.32,-23.33,presence
-55.36,-23.33,presence
-47.08,-23.31,presence
-46.74,-23.31,presence
-50.34,-23.3,presence
-47.28,-23.3,presence
-45.97,-23.3,presence
-46.23,-23.3,presence
-50.08,-23.29,presence
-52.07,-23.29,presence
-47.68,-23.28,presence
-51.42,-23.28,presence
-46.71,-23.28,presence
-49.76,-23.27,presence
-52.15,-23.26,presence
-49.48,-23.26,presence
-52.66,-23.26,presence
-50.39,-23.25,presence
-50.92,-23.25,presence
-47.52,-23.24,presence
-51.73,-23.24,presence
-51.06,-23.23,presence
-46.83,-23.22,presence
-54.95,-23.22,presence
-51.84,-23.22,presence
-47.91,-23.22,presence
-46.76,-23.21,presence
-51.57,-23.21,presence
-50.82,-23.21,presence
-51.29,-23.21,presence
-52.76,-23.2,presence
-46.91,-23.2,presence
-52.48,-23.2,presence
-49.62,-23.2,presence
-51.92,-23.2,presence
-50.64,-23.19,presence
-49.39,-23.19,presence
-47.76,-23.19,presence
-48.12,-23.18,presence
-49.06,-23.18,presence
-47.29,-23.17,presence
-52.62,-23.17,presence
-52.18,-23.16,presence
-50.34,-23.15,presence
-47.07,-23.15,presence
-49.97,-23.15,presence
-53.12,-23.14,presence
-48.6,-23.14,presence
-44.76,-23.14,presence
-52.83,-23.14,presence
-51.74,-23.13,presence
-48.31,-23.13,presence
-46.57,-23.13,presence
-52.06,-23.13,presence
-47.98,-23.12,presence
-47.19,-23.11,presence
-53.24,-23.11,presence
-50.16,-23.11,presence
-51.97,-23.11,presence
-45.72,-23.1,presence
-54.05,-23.1,presence
-47.79,-23.1,presence
-48.39,-23.1,presence
-52.97,-23.09,presence
-45.51,-23.09,presence
-46.93,-23.08,presence
-53.37,-23.08,presence
-47.37,-23.08,presence
-49.12,-23.07,presence
-52.33,-23.07,presence
-52.1,-23.07,presence
-51.06,-23.07,presence
-50.92,-23.06,presence
-48.91,-23.06,presence
-49.61,-23.06,presence
-45.91,-23.06,presence
-46.97,-23.06,presence
-53.52,-23.06,presence
-51.83,-23.06,presence
-50.54,-23.06,presence
-47.71,-23.05,presence
-51.57,-23.05,presence
-49.3,-23.05,presence
-47.59,-23.04,presence
-46.29,-23.04,presence
-49.74,-23.04,presence
-51.4,-23.03,presence
-50.27,-23.03,presence
-49.49,-23.03,presence
-49.79,-23.02,presence
-47.85,-23.02,presence
-50.73,-23.02,presence
-46.8,-23.01,presence
-51.26,-23.01,presence
-50.09,-23.0,presence
-51.48,-22.99,presence
-50.44,-22.99,presence
-47.5,-22.99,presence
-52.15,-22.98,presence
-46.98,-22.98,presence
-52.0,-22.98,presence
-55.37,-22.97,presence
-53.08,-22.97,presence
-49.37,-22.97,presence
-48.05,-22.96,presence
-51.69,-22.96,presence
-49.87,-22.96,presence
-47.3,-22.95,presence
-50.89,-22.95,presence
-44.4,-22.95,presence
-44.04,-22.94,presence
-47.6,-22.94,presence
-43.47,-22.94,presence
-45.6,-22.94,presence
-46.56,-22.94,presence
-46.22,-22.93,presence
-45.3,-22.93,presence
-42.14,-22.93,presence
-52.74,-22.92,presence
-51.79,-22.92,presence
-43.05,-22.92,presence
-42.83,-22.91,presence
-45.24,-22.91,presence
-47.03,-22.9,presence
-51.4,-22.89,presence
-46.79,-22.89,presence
-45.49,-22.89,presence
-49.27,-22.88,presence
-49.97,-22.87,presence
-52.55,-22.87,presence
-42.52,-22.87,presence
-47.21,-22.87,presence
-50.69,-22.87,presence
-47.74,-22.87,presence
-51.06,-22.86,presence
-47.26,-22.85,presence
-47.6,-22.85,presence
-48.4,-22.84,presence
-53.32,-22.83,presence
-52.15,-22.83,presence
-52.33,-22.83,presence
-42.22,-22.83,presence
-45.25,-22.82,presence
-43.0,-22.82,presence
-50.23,-22.82,presence
-43.43,-22.82,presence
-54.42,-22.82,presence
-51.96,-22.82,presence
-51.26,-22.82,presence
-48.68,-22.82,presence
-50.82,-22.81,presence
-45.23,-22.81,presence
-49.1,-22.81,presence
-43.81,-22.81,presence
-50.07,-22.81,presence
-50.42,-22.81,presence
-47.44,-22.8,presence
-43.45,-22.8,presence
-48.16,-22.8,presence
-51.72,-22.8,presence
-51.56,-22.79,presence
-44.1,-22.79,presence
-43.37,-22.79,presence
-47.28,-22.78,presence
-42.14,-22.78,presence
-45.05,-22.78,presence
-41.94,-22.78,presence
-53.19,-22.78,presence
-50.61,-22.77,presence
-42.72,-22.77,presence
-46.89,-22.76,presence
-49.57,-22.76,presence
-42.88,-22.75,presence
-43.71,-22.75,presence
-52.98,-22.75,presence
-47.14,-22.75,presence
-49.92,-22.75,presence
-42.29,-22.74,presence
-51.41,-22.74,presence
-51.68,-22.74,presence
-45.02,-22.74,presence
-42.02,-22.74,presence
-53.06,-22.74,presence
-44.33,-22.74,presence
-50.75,-22.74,presence
-42.59,-22.74,presence
-43.38,-22.73,presence
-43.58,-22.73,presence
-52.89,-22.73,presence
-51.81,-22.73,presence
-47.29,-22.72,presence
-52.69,-22.72,presence
-51.91,-22.72,presence
-52.23,-22.72,presence
-53.96,-22.71,presence
-47.79,-22.71,presence
-45.01,-22.71,presence
-46.67,-22.71,presence
-48.55,-22.7,presence
-46.81,-22.7,presence
-43.52,-22.7,presence
-52.35,-22.69,presence
-49.75,-22.69,presence
-48.99,-22.69,presence
-47.02,-22.68,presence
-53.47,-22.67,presence
-48.81,-22.67,presence
-51.97,-22.67,presence
-43.6,-22.67,presence
-49.42,-22.66,presence
-43.93,-22.66,presence
-50.75,-22.66,presence
-47.19,-22.65,presence
-55.24,-22.65,presence
-52.09,-22.65,presence
-43.31,-22.64,presence
-52.9,-22.64,presence
-50.01,-22.64,presence
-51.07,-22.63,presence
-47.07,-22.63,presence
-54.8,-22.63,presence
-50.22,-22.62,presence
-47.53,-22.62,presence
-48.65,-22.62,presence
-43.72,-22.61,presence
-46.96,-22.61,presence
-43.12,-22.61,presence
-47.88,-22.6,presence
-51.2,-22.6,presence
-47.36,-22.59,presence
-42.96,-22.59,presence
-53.76,-22.58,presence
-52.08,-22.58,presence
-50.44,-22.58,presence
-45.18,-22.58,presence
-42.39,-22.57,presence
-49.3,-22.57,presence
-48.16,-22.56,presence
-45.01,-22.56,presence
-49.12,-22.56,presence
-47.93,-22.56,presence
-47.14,-22.56,presence
-49.67,-22.55,presence
-48.57,-22.54,presence
-43.99,-22.54,presence
-43.74,-22.53,presence
-43.47,-22.53,presence
-47.75,-22.53,presence
-51.54,-22.52,presence
-44.08,-22.52,presence
-43.64,-22.52,presence
-42.74,-22.52,presence
-46.66,-22.51,presence
-52.61,-22.51,presence
-44.77,-22.51,presence
-51.34,-22.5,presence
-54.42,-22.49,presence
-44.18,-22.49,presence
-51.68,-22.48,presence
-49.38,-22.48,presence
-52.86,-22.48,presence
-49.55,-22.48,presence
-48.54,-22.48,presence
-47.17,-22.48,presence
-47.4,-22.48,presence
-42.14,-22.48,presence
-46.6,-22.48,presence
-47.52,-22.47,presence
-41.94,-22.47,presence
-51.87,-22.47,presence
-48.44,-22.47,presence
-50.64,-22.47,presence
-48.72,-22.46,presence
-46.02,-22.46,presence
-49.76,-22.45,presence
-48.17,-22.45,presence
-44.32,-22.44,presence
-44.57,-22.44,presence
-44.42,-22.44,presence
-49.81,-22.44,presence
-47.0,-22.44,presence
-46.75,-22.44,presence
-47.72,-22.43,presence
-49.96,-22.43,presence
-51.57,-22.43,presence
-54.19,-22.43,presence
-52.4,-22.43,presence
-43.92,-22.42,presence
-50.21,-22.42,presence
-49.19,-22.42,presence
-48.36,-22.4,presence
-49.4,-22.4,presence
-47.61,-22.4,presence
-43.18,-22.39,presence
-47.14,-22.38,presence
-49.54,-22.38,presence
-43.4,-22.38,presence
-43.56,-22.37,presence
-53.15,-22.37,presence
-51.62,-22.36,presence
-44.24,-22.36,presence
-53.8,-22.36,presence
-51.43,-22.36,presence
-46.29,-22.35,presence
-51.99,-22.35,presence
-54.45,-22.34,presence
-47.33,-22.34,presence
-49.58,-22.33,presence
-50.36,-22.32,presence
-50.91,-22.31,presence
-42.47,-22.31,presence
-48.54,-22.3,presence
-42.88,-22.3,presence
-50.25,-22.29,presence
-47.84,-22.29,presence
-48.1,-22.29,presence
-48.88,-22.29,presence
-46.6,-22.28,presence
-41.98,-22.28,presence
-46.38,-22.27,presence
-46.17,-22.25,presence
-48.7,-22.25,presence
-47.6,-22.24,presence
-46.94,-22.24,presence
-49.11,-22.24,presence
-43.11,-22.24,presence
-50.51,-22.24,presence
-47.02,-22.23,presence
-50.82,-22.23,presence
-43.89,-22.23,presence
-49.69,-22.23,presence
-50.64,-22.23,presence
-49.83,-22.23,presence
-55.99,-22.22,presence
-42.38,-22.21,presence
-41.66,-22.2,presence
-51.11,-22.2,presence
-51.3,-22.2,presence
-55.54,-22.2,presence
-46.61,-22.2,presence
-49.31,-22.19,presence
-49.96,-22.19,presence
-46.79,-22.19,presence
-43.3,-22.18,presence
-47.34,-22.18,presence
-42.9,-22.17,presence
-43.54,-22.17,presence
-48.79,-22.17,presence
-41.78,-22.16,presence
-54.54,-22.16,presence
-42.13,-22.16,presence
-52.77,-22.15,presence
-50.09,-22.14,presence
-54.15,-22.14,presence
-51.26,-22.13,presence
-46.68,-22.13,presence
-47.67,-22.13,presence
-47.49,-22.13,presence
-49.41,-22.12,presence
-48.35,-22.12,presence
-52.07,-22.12,presence
-43.11,-22.12,presence
-51.51,-22.12,presence
-42.66,-22.12,presence
-51.63,-22.11,presence
-41.41,-22.1,presence
-48.52,-22.09,presence
-45.29,-22.09,presence
-49.74,-22.08,presence
-50.38,-22.08,presence
-48.99,-22.08,presence
-53.41,-22.07,presence
-46.4,-22.07,presence
-42.34,-22.06,presence
-48.73,-22.06,presence
-53.86,-22.06,presence
-47.05,-22.06,presence
-46.58,-22.06,presence
-43.24,-22.05,presence
-48.17,-22.04,presence
-42.48,-22.04,presence
-50.19,-22.03,presence
-42.27,-22.03,presence
-48.37,-22.03,presence
-42.84,-22.02,presence
-44.83,-22.02,presence
-51.72,-22.01,presence
-54.59,-22.01,presence
-54.87,-22.0,presence
-43.01,-21.98,presence
-49.81,-21.98,presence
-47.41,-21.97,presence
-46.8,-21.97,presence
-51.35,-21.96,presence
-50.53,-21.96,presence
-48.79,-21.95,presence
-41.92,-21.95,presence
-48.47,-21.95,presence
-51.22,-21.95,presence
-50.76,-21.95,presence
-50.39,-21.94,presence
-48.04,-21.94,presence
-51.4,-21.94,presence
-56.51,-21.92,presence
-46.69,-21.92,presence
-49.58,-21.91,presence
-49.44,-21.91,presence
-57.14,-21.9,presence
-45.59,-21.9,presence
-42.56,-21.9,presence
-49.02,-21.9,presence
-49.33,-21.9,presence
-45.1,-21.89,presence
-52.2,-21.88,presence
-47.65,-21.88,presence
-47.91,-21.88,presence
-42.09,-21.88,presence
-43.3,-21.87,presence
-42.34,-21.87,presence
-46.88,-21.87,presence
-49.87,-21.87,presence
-52.62,-21.87,presence
-43.02,-21.86,presence
-50.99,-21.86,presence
-47.25,-21.86,presence
-45.25,-21.86,presence
-49.18,-21.86,presence
-47.44,-21.85,presence
-51.75,-21.84,presence
-51.07,-21.84,presence
-50.84,-21.83,presence
-42.76,-21.83,presence
-45.42,-21.82,presence
-46.54,-21.82,presence
-51.37,-21.81,presence
-50.06,-21.81,presence
-46.0,-21.81,presence
-51.59,-21.81,presence
-43.87,-21.8,presence
-50.23,-21.8,presence
-50.62,-21.8,presence
-51.99,-21.8,presence
-51.86,-21.79,presence
-48.86,-21.79,presence
-51.48,-21.79,presence
-47.1,-21.79,presence
-48.46,-21.78,presence
-51.17,-21.78,presence
-48.56,-21.78,presence
-45.65,-21.77,presence
-50.42,-21.77,presence
-42.56,-21.77,presence
-43.02,-21.76,presence
-41.09,-21.76,presence
-43.42,-21.76,presence
-49.31,-21.76,presence
-46.93,-21.76,presence
-48.17,-21.76,presence
-46.75,-21.75,presence
-44.96,-21.74,presence
-44.28,-21.73,presence
-49.56,-21.73,presence
-43.1,-21.73,presence
-42.09,-21.73,presence
-50.96,-21.73,presence
-48.62,-21.73,presence
-48.03,-21.72,presence
-49.35,-21.72,presence
-42.47,-21.71,presence
-50.86,-21.71,presence
-51.38,-21.7,presence
-45.22,-21.7,presence
-42.96,-21.7,presence
-43.21,-21.69,presence
-50.72,-21.68,presence
-47.51,-21.68,presence
-45.9,-21.68,presence
-44.6,-21.67,presence
-50.35,-21.67,presence
-41.75,-21.67,presence
-46.71,-21.67,presence
-48.05,-21.67,presence
-42.35,-21.66,presence
-50.53,-21.66,presence
-42.13,-21.65,presence
-54.46,-21.65,presence
-41.43,-21.65,presence
-49.69,-21.65,presence
-51.01,-21.63,presence
-48.44,-21.62,presence
-50.18,-21.61,presence
-56.42,-21.61,presence
-49.08,-21.61,presence
-45.59,-21.6,presence
-47.24,-21.6,presence
-46.9,-21.6,presence
-43.95,-21.59,presence
-43.01,-21.59,presence
-50.87,-21.59,presence
-51.07,-21.58,presence
-50.66,-21.58,presence
-48.01,-21.58,presence
-50.47,-21.58,presence
-42.18,-21.57,presence
-45.4,-21.57,presence
-45.76,-21.57,presence
-45.07,-21.57,presence
-43.18,-21.56,presence
-51.6,-21.56,presence
-46.63,-21.56,presence
-49.74,-21.55,presence
-51.17,-21.55,presence
-47.78,-21.55,presence
-50.34,-21.55,presence
-42.66,-21.54,presence
-48.79,-21.54,presence
-55.98,-21.54,presence
-41.51,-21.54,presence
-44.9,-21.52,presence
-48.17,-21.52,presence
-42.45,-21.52,presence
-46.25,-21.52,presence
-48.35,-21.51,presence
-50.57,-21.51,presence
-47.36,-21.5,presence
-51.28,-21.5,presence
-51.74,-21.5,presence
-49.81,-21.49,presence
-41.91,-21.48,presence
-49.57,-21.48,presence
-43.5,-21.48,presence
-43.15,-21.48,presence
-49.31,-21.48,presence
-51.35,-21.47,presence
-49.95,-21.47,presence
-47.6,-21.47,presence
-55.33,-21.47,presence
-51.43,-21.46,presence
-45.82,-21.46,presence
-51.86,-21.46,presence
-54.16,-21.46,presence
-46.73,-21.46,presence
-41.67,-21.46,presence
-45.2,-21.45,presence
-41.14,-21.45,presence
-48.0,-21.45,presence
-47.01,-21.45,presence
-42.97,-21.45,presence
-48.37,-21.45,presence
-48.52,-21.44,presence
-42.33,-21.44,presence
-42.85,-21.43,presence
-44.95,-21.42,presence
-50.49,-21.42,presence
-45.49,-21.41,presence
-48.22,-21.4,presence
-50.13,-21.39,presence
-42.15,-21.39,presence
-41.94,-21.39,presence
-51.6,-21.38,presence
-46.52,-21.37,presence
-49.07,-21.37,presence
-43.05,-21.37,presence
-46.0,-21.36,presence
-50.28,-21.36,presence
-43.26,-21.36,presence
-46.94,-21.35,presence
-42.46,-21.35,presence
-46.13,-21.35,presence
-48.07,-21.35,presence
-50.75,-21.35,presence
-44.71,-21.34,presence
-48.63,-21.34,presence
-49.51,-21.34,presence
-42.65,-21.33,presence
-42.8,-21.33,presence
-42.88,-21.32,presence
-48.69,-21.32,presence
-48.83,-21.32,presence
-51.65,-21.32,presence
-50.21,-21.32,presence
-50.86,-21.32,presence
-47.77,-21.31,presence
-51.74,-21.31,presence
-47.56,-21.31,presence
-46.32,-21.31,presence
-46.68,-21.29,presence
-49.92,-21.29,presence
-45.77,-21.29,presence
-47.44,-21.29,presence
-47.33,-21.28,presence
-49.66,-21.28,presence
-44.83,-21.28,presence
-46.81,-21.28,presence
-50.62,-21.28,presence
-49.4,-21.27,presence
-47.14,-21.27,presence
-50.35,-21.26,presence
-45.02,-21.26,presence
-43.02,-21.26,presence
-45.49,-21.26,presence
-48.57,-21.26,presence
-49.15,-21.26,presence
-43.8,-21.25,presence
-42.13,-21.25,presence
-47.98,-21.25,presence
-51.57,-21.24,presence
-44.28,-21.24,presence
-43.17,-21.23,presence
-48.08,-21.23,presence
-46.18,-21.23,presence
-46.51,-21.23,presence
-52.67,-21.23,presence
-51.68,-21.23,presence
-49.27,-21.22,presence
-49.76,-21.22,presence
-41.89,-21.22,presence
-47.82,-21.21,presence
-47.6,-21.21,presence
-42.85,-21.21,presence
-44.61,-21.21,presence
-51.78,-21.21,presence
-57.32,-21.21,presence
-45.27,-21.21,presence
-48.29,-21.21,presence
-46.95,-21.2,presence
-49.57,-21.2,presence
-48.93,-21.2,presence
-50.94,-21.19,presence
-50.21,-21.18,presence
-42.78,-21.18,presence
-43.02,-21.18,presence
-45.42,-21.18,presence
-48.78,-21.18,presence
-43.35,-21.18,presence
-48.65,-21.18,presence
-44.93,-21.17,presence
-42.26,-21.17,presence
-41.08,-21.16,presence
-49.09,-21.15,presence
-45.08,-21.15,presence
-51.04,-21.15,presence
-42.63,-21.14,presence
-50.49,-21.14,presence
-48.42,-21.14,presence
-51.52,-21.14,presence
-48.54,-21.13,presence
-48.95,-21.13,presence
-44.22,-21.12,presence
-55.83,-21.12,presence
-44.16,-21.12,presence
-50.05,-21.11,presence
-42.98,-21.11,presence
-45.83,-21.11,presence
-48.03,-21.11,presence
-48.83,-21.1,presence
-46.21,-21.1,presence
-49.77,-21.1,presence
-40.88,-21.09,presence
-41.78,-21.09,presence
-51.11,-21.09,presence
-42.41,-21.09,presence
-54.91,-21.09,presence
-48.67,-21.08,presence
-47.21,-21.08,presence
-49.39,-21.08,presence
-47.04,-21.08,presence
-41.6,-21.07,presence
-51.3,-21.07,presence
-49.22,-21.07,presence
-41.57,-21.07,presence
-49.05,-21.07,presence
-48.39,-21.07,presence
-41.36,-21.07,presence
-45.06,-21.06,presence
-52.49,-21.06,presence
-50.21,-21.06,presence
-45.66,-21.06,presence
-49.53,-21.05,presence
-47.62,-21.04,presence
-41.94,-21.04,presence
